,orgA_id,orgB_id,ks,pval,orgA_label,orgB_label,correct
395,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,0.1110490373098307,7.213705476569049e-07,12,9,False
106,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,577ee702c479d9c8f6afe85dec402b25dbbf08e242983a31d0f53bafe6cdaf53,0.11532735669654985,0.0059845682956354875,13,3,False
771,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,cd01533ae6ad0a6ac3a6c7d66aaa89b2776a0541be24352e1e421c3bfcf6b467,0.12244849032823717,1.8345428318648266e-07,9,12,False
905,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,d688c15b16c89a5f89783fbb4f8cd95d4e46be67e46a17af6ac55f14eca3198a,0.12336099741078757,5.766313826866059e-12,3,4,False
536,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,2f27773944b2d3582c3a081081423a4c91c7f63741845274ecc2e87012ecd99d,0.12504783366639738,1.1913897258531681e-07,4,2,False
1666,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,5389646ea08918451bdc1763a116fe00b1f1f19e32ea1840595e4f31f0bc57ad,0.12506877146249837,6.579203470377411e-19,5,1,False
15,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,87dd7911a92aec2f4295ae0b154e76fda1f747144724f0e0f21200038c43d405,0.12748382390684732,0.0003611874405526123,13,3,False
1573,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,e4fe0f55e17a57d457cebb3d4cb507fffa9cea5acf0e93347e897a7bdb115224,0.12899380066762042,8.414061273396374e-05,14,16,False
777,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,d688c15b16c89a5f89783fbb4f8cd95d4e46be67e46a17af6ac55f14eca3198a,0.1302412535746993,4.663139900618672e-09,9,4,False
1035,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,0.1315758328895201,1.2091161426668533e-09,0,9,False
515,eb5b6b5313be4c22e7ecc2c1a87f55d40b803c2a6548a7030089b37b04b1df6c,cd01533ae6ad0a6ac3a6c7d66aaa89b2776a0541be24352e1e421c3bfcf6b467,0.1364885114885115,1.7670755511140603e-11,4,12,False
655,77824301fdc0ecc7a7920d327612e967768c585a9a687a5f830ab2c572ef375e,87dd7911a92aec2f4295ae0b154e76fda1f747144724f0e0f21200038c43d405,0.13700449838480813,1.9738123566630493e-06,2,3,False
408,cac7b79b7eca7236f513ac494ee2190c32aa9e69c323a27d7c9474cf730a356a,2f27773944b2d3582c3a081081423a4c91c7f63741845274ecc2e87012ecd99d,0.14190420361712633,3.987339357208415e-10,12,2,False
836,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,01c18f7319e372ba2c7d0d7fd13768f9fcf96fbd3d618fd26dba91e4f2bdbdb4,0.14254911801334597,1.6605031241408838e-11,9,0,False
1642,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,577ee702c479d9c8f6afe85dec402b25dbbf08e242983a31d0f53bafe6cdaf53,0.14689556509298998,1.262585858433123e-05,14,3,False
2201,d8e3fd1884cbe7bb313417fe8df6a6ab414daa28032c919d13ac34c079ec684a,d522ddf059f2043d688dba4397f3a7739325ae3cba2af82796272dafb5e37c0a,0.14834254143646408,0.05431002831092886,8,13,False
2180,d8e3fd1884cbe7bb313417fe8df6a6ab414daa28032c919d13ac34c079ec684a,8938f1827b95bb7d4bc08a296a136de7c24d5f6b9dcf8ce1ec2d0a4fa298c2dc,0.15089285714285713,0.021037090103707697,8,14,False
842,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,fef3b4e0bc9e8a76779b5e341d6e11ba916c24e149fee3e049e92907a88e7ad9,0.15108362102032988,9.703080489307711e-13,9,0,False
775,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,4266703c597aba236d63a369c11638b36c134cced513ffd2c60930a6e9e66bef,0.15205338429862708,4.603346332430743e-13,9,0,False
1776,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,b88a62af2a90360538840b46d759e122d306bb051b9d8740ab02c266459a96dc,0.15254277152299228,1.9143526643296512e-23,5,5,True
783,175d885203a019baa12ff49533e3f8e38ed553d2f1f04d4d73bbab70fc822776,87dd7911a92aec2f4295ae0b154e76fda1f747144724f0e0f21200038c43d405,0.15822784810126583,1.9151345707296623e-09,9,3,False
1048,5a5acda11072c0d5b9abc18dd476c56bac52e0ef712bcaf0b14263456f5463fc,2f27773944b2d3582c3a081081423a4c91c7f63741845274ecc2e87012ecd99d,0.1587870545230107,8.648950525229548e-13,0,2,False
1159,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,4266703c597aba236d63a369c11638b36c134cced513ffd2c60930a6e9e66bef,0.1638315751343132,2.9389657213085136e-23,1,0,False
1535,f693b06b5f6ea9867c3f271f46ad951585cc4b61e78b0608a7e842ee176335be,c677237cedd54f37e261f59f3c6a55608f227b6134882145de684c90dd880b1d,0.16460176991150444,0.08978814744961891,17,17,True
1220,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,01c18f7319e372ba2c7d0d7fd13768f9fcf96fbd3d618fd26dba91e4f2bdbdb4,0.16503712057934392,1.625091063766763e-23,1,0,False
24,c254ff70dd51e6a0b3c117a631a30a23ba2f7a56a81872909c3b35f2b2827dd8,2f27773944b2d3582c3a081081423a4c91c7f63741845274ecc2e87012ecd99d,0.16530951253998355,5.748842666196567e-07,13,2,False
649,77824301fdc0ecc7a7920d327612e967768c585a9a687a5f830ab2c572ef375e,d688c15b16c89a5f89783fbb4f8cd95d4e46be67e46a17af6ac55f14eca3198a,0.16710870023938937,1.7746397489523548e-12,2,4,False
1559,0e905501ddd06938daa337f1fef611c5d20f9c4961a38a9f65e4c48566c621eb,70c8c2de0f0cedfcaa2fa93c185cb87ad7ae78dd7d672cb2c4dbd9519d93d18a,0.1678046560020809,1.6314946468243715e-07,14,16,False
1226,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,fef3b4e0bc9e8a76779b5e341d6e11ba916c24e149fee3e049e92907a88e7ad9,0.16799534079972,5.910272059463115e-24,1,0,False
898,48b8e55428ffcd743a5ed414af8fc20035b84f9180cce21e6fd9a4f8c86ff6bd,5389646ea08918451bdc1763a116fe00b1f1f19e32ea1840595e4f31f0bc57ad,0.16808277473327796,3.219771533097666e-29,3,1,False
213,091dd46487eb1852205ccb85e692aee074fcb9b6cdcb393ef48b419c15474b84,6dd8f7bf1b910097e55682df69a4c9432193c8386b216b9297ab7ced0f13da8e,0.16945812807881774,0.013665788898987357,10,11,False
1161,48df027908f4ae0c29f2674858618703e8df42fca4b298c62699b737bcb319bc,d688c15b16c89a5f89783fbb4f8cd95d4e46be67e46a17af6ac55f14eca3198a,0.16961471967437705,2.2448633427065605e-22,1,4,False
708,77824301fdc0ecc7a7920d327612e967768c585a9a687a5f830ab2c572ef375e,01c18f7319e372ba2c7d0d7fd13768f9fcf96fbd3d618fd26dba91e4f2bdbdb4,0.17151729616523434,6.992225375435817e-14,2,0,False
643,77824301fdc0ecc7a7920d327612e967768c585a9a687a5f830ab2c572ef375e,cd01533ae6ad0a6ac3a6c7d66aaa89b2776a0541be24352e1e421c3bfcf6b467,0.17301823859200907,1.748320106847833e-12,2,12,False
